"ISSN_1","ISSN_2","Title"
2331‐1231,2331‐124X,"FOUNDATIONS AND TRENDS IN INFORMATION SYSTEMS"
1935‐8237,1935‐8245,"FOUNDATIONS AND TRENDS IN MACHINE LEARNING"
1554‐057X,1554‐0588,"FOUNDATIONS AND TRENDS IN NETWORKING"
2325‐1107,2325‐1131,"FOUNDATIONS AND TRENDS IN PROGRAMMING LANGUAGES"
1932‐8346,1932‐8354,"FOUNDATIONS AND TRENDS IN SIGNAL PROCESSING"
2325‐6818,2325‐6826,"FOUNDATIONS AND TRENDS IN SYSTEMS AND CONTROL"
1551‐305X,1551‐3068,"FOUNDATIONS AND TRENDS IN THEORETICAL COMPUTER SCIENCE"
1555‐077X,1555‐0788,"FOUNDATIONS AND TRENDS IN WEB SCIENCE"
1615‐3375,1615‐3383,"FOUNDATIONS OF COMPUTATIONAL MATHEMATICS"
0867‐6356,2300‐3405,"FOUNDATIONS OF COMPUTING AND DECISION SCIENCES"
2639‐8001,,"         FOUNDATIONS OF DATA SCIENCE"
2624‐8212,,"         FRONTIERS IN ARTIFICIAL INTELLIGENCE"
0922‐6389,0187‐8314,"FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS"
2624‐909X,,"         FRONTIERS IN BIG DATA"
2296‐4185,,"         FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY"
2624‐7852,,"         FRONTIERS IN BLOCKCHAIN"
2673‐530X,,"         FRONTIERS IN COMMUNICATIONS AND NETWORKS"
2624‐9898,,"         FRONTIERS IN COMPUTER SCIENCE"
2673‐253X,,"         FRONTIERS IN DIGITAL HEALTH"
2673‐2726,,"         FRONTIERS IN HUMAN DYNAMICS"
2297‐198X,,"         FRONTIERS OF ICT"
1662‐5196,1662‐5196,"FRONTIERS IN NEUROINFORMATICS"
1662‐5218,1662‐5218,"FRONTIERS IN NEUROROBOTICS"
2296‐9144,,"         FRONTIERS IN ROBOTICS AND AI"
2673‐4192,,"         FRONTIERS IN VIRTUAL REALITY"
2095‐2228,2095‐2236,"FRONTIERS OF COMPUTER SCIENCE"
2095‐9184,2095‐9230,"FRONTIERS OF INFORMATION TECHNOLOGY AND ELECTRONIC ENGINEERING"
0169‐2968,,"         FUNDAMENTA INFORMATICAE"
2770‐0070,2692‐4048,"FUSION: PRACTICE AND APPLICATIONS"
0167‐739X,,"         FUTURE GENERATION COMPUTER SYSTEMS"
1999‐5903,,"         FUTURE INTERNET"
1616‐8658,1616‐8666,"FUZZY INFORMATION AND ENGINEERING"
1568‐4539,1573‐2908,"FUZZY OPTIMIZATION AND DECISION MAKING"
0165‐0114,,"         FUZZY SETS AND SYSTEMS"
1555‐4120,1555‐4139,"GAMES AND CULTURE"
1389‐2576,1573‐7632,"GENETIC PROGRAMMING AND EVOLVABLE MACHINES"
1384‐6175,1573‐7624,"GEOINFORMATICA"
2364‐4966,2364‐4974,"GRANULAR COMPUTING"
1524‐0703,1524‐0711,"GRAPHICAL MODELS"
0911‐0119,1435‐5914,"GRAPHS AND COMBINATORICS"
1867‐1144,1869‐6104,"GROUPS, COMPLEXITY, CRYPTOLOGY"
2047‐2501,,"         HEALTH INFORMATION SCIENCE AND SYSTEMS"
2047‐6965,2047‐6973,"HEALTH SYSTEMS"
2667‐2952,,"         HIGH‐CONFIDENCE COMPUTING"
2723‐9535,,"         HIGHTECH AND INNOVATION JOURNAL"
2578‐1863,,"         HUMAN BEHAVIOR AND EMERGING TECHNOLOGIES"
1402‐1501,,"         HUMAN IT"
1387‐6724,,"         HUMAN COGNITIVE PROCESSING"
1795‐6889,,"         HUMAN TECHNOLOGY"
2192‐1962,,"         HUMAN‐CENTRIC COMPUTING AND INFORMATION SCIENCES"
0737‐0024,1532‐7051,"HUMAN‐COMPUTER INTERACTION"
2569‐2925,,"         IACR TRANSACTIONS ON CRYPTOGRAPHIC HARDWARE AND EMBEDDED SYSTEMS"
2519‐173X,,"         IACR TRANSACTIONS ON SYMMETRIC CRYPTOLOGY"
1819‐656X,1819‐9224,"IAENG INTERNATIONAL JOURNAL OF COMPUTER SCIENCE"
2089‐4872,2252‐8938,"IAES INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE"
1389‐6911,2468‐2438,"ICGA JOURNAL"
1881‐803X,,"         ICIC EXPRESS LETTERS"
2185‐2766,,"         ICIC EXPRESS LETTERS, PART B: APPLICATIONS"
2405‐9595,,"         ICT EXPRESS"
2169‐3536,,"         IEEE ACCESS"
1058‐6180,,"         IEEE ANNALS OF THE HISTORY OF COMPUTING"
2694‐1783,,"         IEEE CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING"
1531‐636X,,"         IEEE CIRCUITS AND SYSTEMS MAGAZINE"
2325‐6095,,"         IEEE CLOUD COMPUTING"
1089‐7798,,"         IEEE COMMUNICATIONS LETTERS"
0163‐6804,,"         IEEE COMMUNICATIONS MAGAZINE"
2471‐2825,,"         IEEE COMMUNICATIONS STANDARDS MAGAZINE"
1553‐877X,,"         IEEE COMMUNICATIONS SURVEYS AND TUTORIALS"
1556‐603X,,"         IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE"
1556‐6056,,"         IEEE COMPUTER ARCHITECTURE LETTERS"
0272‐1716,1558‐1756,"IEEE COMPUTER GRAPHICS AND APPLICATIONS"
2162‐2248,2162‐2256,"IEEE CONSUMER ELECTRONICS MAGAZINE"
2168‐2356,,"         IEEE DESIGN AND TEST"
1943‐0663,,"         IEEE EMBEDDED SYSTEMS LETTERS"
1541‐1672,,"         IEEE INTELLIGENT SYSTEMS"
1939‐1390,1941‐1197,"IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE"
1089‐7801,,"         IEEE INTERNET COMPUTING"
2327‐4662,,"         IEEE INTERNET OF THINGS JOURNAL"
2576‐3180,,"         IEEE INTERNET OF THINGS MAGAZINE"
2168‐2194,2168‐2208,"IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS"
2329‐9231,,"         IEEE JOURNAL ON EXPLORATORY SOLID‐STATE COMPUTATIONAL DEVICES AND CIRCUITS"
0733‐8716,,"         IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS"
2641‐8770,,"         IEEE JOURNAL ON SELECTED AREAS IN INFORMATION THEORY"
1932‐4553,,"         IEEE JOURNAL ON SELECTED TOPICS IN SIGNAL PROCESSING"
1548‐0992,1548‐0992,"IEEE LATIN AMERICA TRANSACTIONS"
2573‐9689,,"         IEEE LETTERS OF THE COMPUTER SOCIETY"
0272‐1732,,"         IEEE MICRO"
1070‐986X,,"         IEEE MULTIMEDIA"
0890‐8044,1558‐156X,"IEEE NETWORK"
2687‐7813,,"         IEEE OPEN JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS"
2644‐1322,,"         IEEE OPEN JOURNAL OF SIGNAL PROCESSING"
2644‐125X,,"         IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY"
2644‐1268,,"         IEEE OPEN JOURNAL OF THE COMPUTER SOCIETY"
1536‐1268,,"         IEEE PERVASIVE COMPUTING"
2377‐3766,,"         IEEE ROBOTICS AND AUTOMATION LETTERS"
1070‐9932,,"         IEEE ROBOTICS AND AUTOMATION MAGAZINE"
1540‐7993,1558‐4046,"IEEE SECURITY AND PRIVACY"
1530‐437X,,"         IEEE SENSORS JOURNAL"
1070‐9908,1558‐2361,"IEEE SIGNAL PROCESSING LETTERS"
1053‐5888,,"         IEEE SIGNAL PROCESSING MAGAZINE"
0740‐7459,,"         IEEE SOFTWARE"
1932‐8184,1937‐9234,"IEEE SYSTEMS JOURNAL"
2380‐1298,2333‐942X,"IEEE SYSTEMS, MAN AND CYBERNETICS MAGAZINE"
0278‐0097,,"         IEEE TECHNOLOGY AND SOCIETY MAGAZINE"
1949‐3045,,"         IEEE TRANSACTIONS ON AFFECTIVE COMPUTING"
2691‐4581,,"         IEEE TRANSACTIONS ON ARTIFICIAL INTELLIGENCE"
1558‐7916,,"         IEEE TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING"
0018‐9286,1558‐2523,"IEEE TRANSACTIONS ON AUTOMATIC CONTROL"
2332‐7790,,"         IEEE TRANSACTIONS ON BIG DATA"
0018‐9294,,"         IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING"
2637‐6407,,"         IEEE TRANSACTIONS ON BIOMETRICS, BEHAVIOR, AND IDENTITY SCIENCE"
1549‐8328,,"         IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I: REGULAR PAPERS"
2168‐7161,,"         IEEE TRANSACTIONS ON CLOUD COMPUTING"
2379‐8920,2379‐8939,"IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS"
2332‐7731,,"         IEEE TRANSACTIONS ON COGNITIVE COMMUNICATIONS AND NETWORKING"
0090‐6778,1558‐0857,"IEEE TRANSACTIONS ON COMMUNICATIONS"
2333‐9403,,"         IEEE TRANSACTIONS ON COMPUTATIONAL IMAGING"
2329‐924X,,"         IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS"
0278‐0070,,"         IEEE TRANSACTIONS ON COMPUTER‐AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS"
0018‐9340,,"         IEEE TRANSACTIONS ON COMPUTERS"
2325‐5870,,"         IEEE TRANSACTIONS ON CONTROL OF NETWORK SYSTEMS"
2168‐2267,2168‐2275,"IEEE TRANSACTIONS ON CYBERNETICS"
1545‐5971,,"         IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING"
0018‐9359,1557‐9638,"IEEE TRANSACTIONS ON EDUCATION"
2471‐285X,,"         IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE"
2168‐6750,,"         IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING"
1089‐778X,,"         IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION"
1063‐6706,,"         IEEE TRANSACTIONS ON FUZZY SYSTEMS"
2475‐1502,2475‐1510,"IEEE TRANSACTIONS ON GAMES"
2473‐2400,,"         IEEE TRANSACTIONS ON GREEN COMMUNICATIONS AND NETWORKING"
1939‐1412,2329‐4051,"IEEE TRANSACTIONS ON HAPTICS"
2168‐2291,,"         IEEE TRANSACTIONS ON HUMAN‐MACHINE SYSTEMS"
1057‐7149,,"         IEEE TRANSACTIONS ON IMAGE PROCESSING"
1551‐3203,,"         IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS"
1556‐6013,,"         IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY"
0018‐9448,1557‐9654,"IEEE TRANSACTIONS ON INFORMATION THEORY"
1524‐9050,1558‐0016,"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS"
2379‐8858,,"         IEEE TRANSACTIONS ON INTELLIGENT VEHICLES"
1041‐4347,,"         IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING"
1939‐1382,,"         IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES"
0278‐0062,1558‐254X,"IEEE TRANSACTIONS ON MEDICAL IMAGING"
1536‐1233,,"         IEEE TRANSACTIONS ON MOBILE COMPUTING"
1520‐9210,,"         IEEE TRANSACTIONS ON MULTIMEDIA"
2332‐7766,,"         IEEE TRANSACTIONS ON MULTI‐SCALE COMPUTING SYSTEMS"
1932‐4537,,"         IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT"
2327‐4697,,"         IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING"
1045‐9227,,"         IEEE TRANSACTIONS ON NEURAL NETWORKS"
2162‐237X,2162‐2388,"IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS"
1045‐9219,,"         IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS"
0162‐8828,,"         IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE"
2689‐1808,,"         IEEE TRANSACTIONS ON QUANTUM ENGINEERING"
0018‐9529,1558‐1721,"IEEE TRANSACTIONS ON RELIABILITY"
1552‐3098,,"         IEEE TRANSACTIONS ON ROBOTICS"
1939‐1374,,"         IEEE TRANSACTIONS ON SERVICES COMPUTING"
2373‐776X,,"         IEEE TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING OVER NETWORKS"
1053‐587X,1941‐0476,"IEEE TRANSACTIONS ON SIGNAL PROCESSING"
1949‐3053,,"         IEEE TRANSACTIONS ON SMART GRID"
0098‐5589,,"         IEEE TRANSACTIONS ON SOFTWARE ENGINEERING"
2377‐3782,,"         IEEE TRANSACTIONS ON SUSTAINABLE COMPUTING"
1083‐4427,,"         IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS, PART A: SYSTEMS AND HUMANS"
1083‐4419,,"         IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS, PART B: CYBERNETICS"
1094‐6977,,"         IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS, PART C : APPLICATIONS AND REVIEWS"
2168‐2216,2168‐2232,"IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS"
1063‐8210,1557‐9999,"IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS"
1077‐2626,,"         IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS"
1536‐1284,,"         IEEE WIRELESS COMMUNICATIONS"
2329‐9290,2329‐9304,"IEEE/ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING"
1545‐5963,,"         IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS"
1063‐6692,,"         IEEE/ACM TRANSACTIONS ON NETWORKING"
2329‐9266,2329‐9274,"IEEE/CAA JOURNAL OF AUTOMATICA SINICA"
0916‐8516,1745‐1345,"IEICE TRANSACTIONS ON COMMUNICATIONS"
0916‐8508,1745‐1337,"IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS, COMMUNICATIONS AND COMPUTER SCIENCES"
0916‐8532,1745‐1361,"IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS"
2287‐5255,,"         IEIE TRANSACTIONS ON SMART PROCESSING AND COMPUTING"
2047‐4938,2047‐4946,"IET BIOMETRICS"
2634‐1573,,"         IET BLOCKCHAIN"
1751‐8628,1751‐8636,"IET COMMUNICATIONS"
1751‐9632,1751‐9640,"IET COMPUTER VISION"
1751‐8601,1751‐861X,"IET COMPUTERS AND DIGITAL TECHNIQUES"
2398‐3396,,"         IET CYBER‐PHYSICAL SYSTEMS: THEORY AND APPLICATIONS"
2631‐6315,,"         IET CYBER‐SYSTEMS AND ROBOTICS"
1751‐9659,1751‐9667,"IET IMAGE PROCESSING"
1751‐8709,,"         IET INFORMATION SECURITY"
2047‐4954,2047‐4962,"IET NETWORKS"
2632‐8925,,"         IET QUANTUM COMMUNICATION"
1751‐9675,1751‐9683,"IET SIGNAL PROCESSING"
1751‐8806,1751‐8814,"IET SOFTWARE"
0377‐2063,0974‐780X,"IETE JOURNAL OF RESEARCH"
0262‐8856,,"         IMAGE AND VISION COMPUTING"
2105‐1232,,"         IMAGE PROCESSING ON LINE"
1368‐2199,1743‐131X,"IMAGING SCIENCE JOURNAL"
1386‐6338,1434‐3207,"IN SILICO BIOLOGY"
2061‐2079,2061‐2125,"INFOCOMMUNICATIONS JOURNAL"
0868‐4952,,"         INFORMATICA"
0350‐5596,1854‐3871,"INFORMATICA (SLOVENIA)"
2227‐9709,,"         INFORMATICS"
2713‐3192,2713‐3206,"INFORMATICS AND AUTOMATION"
1753‐8157,,"         INFORMATICS FOR HEALTH AND SOCIAL CARE"
1648‐5831,,"         INFORMATICS IN EDUCATION"
2352‐9148,2352‐9148,"INFORMATICS IN MEDICINE UNLOCKED"
1992‐2264,2310‐9912,"INFORMATIKA I EE PRIMENENIYA"
0170‐6012,,"         INFORMATIK‐SPEKTRUM"
2078‐2489,,"         INFORMATION (SWITZERLAND)"
1360‐0834,,"         INFORMATION AND COMMUNICATIONS TECHNOLOGY LAW"
0890‐5401,1090‐2651,"INFORMATION AND COMPUTATION"
2056‐4961,,"         INFORMATION AND COMPUTER SECURITY"
1002‐0411,,"         INFORMATION AND CONTROL"
2398‐5348,2398‐5356,"INFORMATION AND LEARNING SCIENCE"
0378‐7206,,"         INFORMATION AND MANAGEMENT"
0950‐5849,,"         INFORMATION AND SOFTWARE TECHNOLOGY"
2398‐6247,,"         INFORMATION DISCOVERY AND DELIVERY"
1566‐2535,1872‐6305,"INFORMATION FUSION"
0306‐4573,1873‐5371,"INFORMATION PROCESSING AND MANAGEMENT"
0020‐0190,,"         INFORMATION PROCESSING LETTERS"
1871‐7500,2730‐6836,"INFORMATION RETRIEVAL SERIES"
0020‐0255,,"         INFORMATION SCIENCES"
1939‐3555,1939‐3547,"INFORMATION SECURITY JOURNAL"
0167‐5265,1875‐8789,"INFORMATION SERVICES AND USE"
0306‐4379,,"         INFORMATION SYSTEMS"
1617‐9846,,"         INFORMATION SYSTEMS AND E‐BUSINESS MANAGEMENT"
1387‐3326,1572‐9419,"INFORMATION SYSTEMS FRONTIERS"
1350‐1917,1365‐2575,"INFORMATION SYSTEMS JOURNAL"
1058‐0530,,"         INFORMATION SYSTEMS MANAGEMENT"
1047‐7047,1526‐5536,"INFORMATION SYSTEMS RESEARCH"
1392‐124X,,"         INFORMATION TECHNOLOGY AND CONTROL"
0730‐9295,2163‐5226,"INFORMATION TECHNOLOGY AND LIBRARIES"
1385‐951X,1573‐7667,"INFORMATION TECHNOLOGY AND MANAGEMENT"
0959‐3845,,"         INFORMATION TECHNOLOGY AND PEOPLE"
1098‐3058,1943‐4294,"INFORMATION TECHNOLOGY AND TOURISM"
0268‐1102,1554‐0170,"INFORMATION TECHNOLOGY FOR DEVELOPMENT"
1473‐8716,1473‐8724,"INFORMATION VISUALIZATION"
1091‐9856,1526‐5528,"INFORMS JOURNAL ON COMPUTING"
1633‐1311,2116‐7125,"INGENIERIE DES SYSTEMES D'INFORMATION"
1614‐5046,1614‐5054,"INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING"
1069‐2509,1875‐8835,"INTEGRATED COMPUTER‐AIDED ENGINEERING"
0167‐9260,,"         INTEGRATION"
1137‐3601,,"         INTELIGENCIA ARTIFICIAL"
2770‐3541,,"         INTELLIGENCE AND ROBOTICS"
2708‐6240,,"         INTELLIGENT AND CONVERGED NETWORKS"
1079‐8587,2326‐005X,"INTELLIGENT AUTOMATION AND SOFT COMPUTING"
1088‐467X,1571‐4128,"INTELLIGENT DATA ANALYSIS"
1872‐4981,1875‐8843,"INTELLIGENT DECISION TECHNOLOGIES"
1861‐2776,1861‐2784,"INTELLIGENT SERVICE ROBOTICS"
1868‐4394,1868‐4408,"INTELLIGENT SYSTEMS REFERENCE LIBRARY"
2667‐3053,,"         INTELLIGENT SYSTEMS WITH APPLICATIONS"
1724‐8035,2211‐0097,"INTELLIGENZA ARTIFICIALE"
0953‐5438,1873‐7951,"INTERACTING WITH COMPUTERS"
1049‐4820,,"         INTERACTIVE LEARNING ENVIRONMENTS"
1741‐5659,1758‐8510,"INTERACTIVE TECHNOLOGY AND SMART EDUCATION"
1913‐2751,1867‐1462,"INTERDISCIPLINARY SCIENCES ‐ COMPUTATIONAL LIFE SCIENCES"
1683‐3198,2309‐4524,"INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY"
1743‐8225,1743‐8233,"INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING"
0890‐6327,1099‐1115,"INTERNATIONAL JOURNAL OF ADAPTIVE CONTROL AND SIGNAL PROCESSING"
2158‐107X,2156‐5570,"INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS"
1755‐0386,1755‐0394,"INTERNATIONAL JOURNAL OF ADVANCED INTELLIGENCE PARADIGMS"
1729‐8806,,"         INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS"
2442‐6571,2548‐3161,"INTERNATIONAL JOURNAL OF ADVANCES IN INTELLIGENT INFORMATICS"
2074‐8523,,"         INTERNATIONAL JOURNAL OF ADVANCES IN SOFT COMPUTING AND ITS APPLICATIONS"
1746‐1375,,"         INTERNATIONAL JOURNAL OF AGENT‐ORIENTED SOFTWARE ENGINEERING"
1947‐3192,1947‐3206,"INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS"
1941‐6237,1941‐6245,"INTERNATIONAL JOURNAL OF AMBIENT COMPUTING AND INTELLIGENCE"
1753‐0563,1753‐0571,"INTERNATIONAL JOURNAL OF APPLIED CRYPTOGRAPHY"
1641‐876X,,"         INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS AND COMPUTER SCIENCE"
1947‐8283,1947‐8291,"INTERNATIONAL JOURNAL OF APPLIED METAHEURISTIC COMPUTING"
0888‐613X,1873‐4731,"INTERNATIONAL JOURNAL OF APPROXIMATE REASONING"
1478‐0771,,"         INTERNATIONAL JOURNAL OF ARCHITECTURAL COMPUTING"
0974‐0635,,"         INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE"
1560‐4292,1560‐4306,"INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION"
1476‐8186,,"         INTERNATIONAL JOURNAL OF AUTOMATION AND COMPUTING"
1754‐8632,1754‐8640,"INTERNATIONAL JOURNAL OF AUTONOMOUS AND ADAPTIVE COMMUNICATIONS SYSTEMS"
1758‐0366,1758‐0374,"INTERNATIONAL JOURNAL OF BIO‐INSPIRED COMPUTATION"
1744‐5485,1744‐5493,"INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS"
1755‐8301,1755‐831X,"INTERNATIONAL JOURNAL OF BIOMETRICS"
1548‐0631,1548‐064X,"INTERNATIONAL JOURNAL OF BUSINESS DATA COMMUNICATIONS AND NETWORKING"
2212‐8689,,"         INTERNATIONAL JOURNAL OF CHILD‐COMPUTER INTERACTION"
1998‐4464,,"         INTERNATIONAL JOURNAL OF CIRCUITS, SYSTEMS AND SIGNAL PROCESSING"
2156‐1834,2156‐1826,"INTERNATIONAL JOURNAL OF CLOUD APPLICATIONS AND COMPUTING"
2043‐9989,2043‐9997,"INTERNATIONAL JOURNAL OF CLOUD COMPUTING"
2666‐3074,,"         INTERNATIONAL JOURNAL OF COGNITIVE COMPUTING IN ENGINEERING"
1557‐3958,1557‐3966,"INTERNATIONAL JOURNAL OF COGNITIVE INFORMATICS AND NATURAL INTELLIGENCE"
1754‐3916,1754‐3924,"INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND DISTRIBUTED SYSTEMS"
2076‐0930,2073‐607X,"INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY"
1074‐5351,1099‐1131,"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS"
0218‐1959,1793‐6357,"INTERNATIONAL JOURNAL OF COMPUTATIONAL GEOMETRY AND APPLICATIONS"
1469‐0268,1757‐5885,"INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE AND APPLICATIONS"
1875‐6891,1875‐6883,"INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS"
0219‐8762,1793‐6969,"INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS"
1742‐7185,1742‐7193,"INTERNATIONAL JOURNAL OF COMPUTATIONAL SCIENCE AND ENGINEERING"
1752‐9131,1752‐914X,"INTERNATIONAL JOURNAL OF COMPUTATIONAL VISION AND ROBOTICS"
1757‐2657,1757‐2665,"INTERNATIONAL JOURNAL OF COMPUTER AIDED ENGINEERING AND TECHNOLOGY"
0952‐8091,,"         INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY"
1687‐7047,1687‐7055,"INTERNATIONAL JOURNAL OF COMPUTER GAMES TECHNOLOGY"
2150‐7988,,"         INTERNATIONAL JOURNAL OF COMPUTER INFORMATION SYSTEMS AND INDUSTRIAL MANAGEMENT APPLICATIONS"
0020‐7160,1029‐0265,"INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS"
2379‐9927,2379‐9935,"INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS: COMPUTER SYSTEMS THEORY"
2074‐9090,2074‐9104,"INTERNATIONAL JOURNAL OF COMPUTER NETWORK AND INFORMATION SECURITY"
2395‐0455,,"         INTERNATIONAL JOURNAL OF COMPUTER NETWORKS AND APPLICATIONS"
0975‐2293,0974‐9322,"INTERNATIONAL JOURNAL OF COMPUTER NETWORKS AND COMMUNICATIONS"
1684‐4769,,"         INTERNATIONAL JOURNAL OF COMPUTER SCIENCE IN SPORT"
1793‐8201,,"         INTERNATIONAL JOURNAL OF COMPUTER THEORY AND ENGINEERING"
0920‐5691,1573‐1405,"INTERNATIONAL JOURNAL OF COMPUTER VISION"
2155‐7098,2155‐7101,"INTERNATIONAL JOURNAL OF COMPUTER‐ASSISTED LANGUAGE LEARNING AND TEACHING"
1206‐212X,,"         INTERNATIONAL JOURNAL OF COMPUTERS AND APPLICATIONS"
1076‐5204,,"         INTERNATIONAL JOURNAL OF COMPUTERS AND THEIR APPLICATIONS"
1841‐9836,1841‐9844,"INTERNATIONAL JOURNAL OF COMPUTERS, COMMUNICATIONS AND CONTROL"
1556‐1607,1556‐1615,"INTERNATIONAL JOURNAL OF COMPUTER‐SUPPORTED COLLABORATIVE LEARNING"
1727‐6209,2312‐5381,"INTERNATIONAL JOURNAL OF COMPUTING"
2210‐142X,,"         INTERNATIONAL JOURNAL OF COMPUTING AND DIGITAL SYSTEMS"
1752‐5055,1752‐5063,"INTERNATIONAL JOURNAL OF COMPUTING SCIENCE AND MATHEMATICS"
1598‐6446,2005‐4092,"INTERNATIONAL JOURNAL OF CONTROL, AUTOMATION AND SYSTEMS"
0218‐8430,1793‐6365,"INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS"
1757‐8779,1757‐8787,"INTERNATIONAL JOURNAL OF CRITICAL COMPUTER‐BASED SYSTEMS"
1874‐5482,,"         INTERNATIONAL JOURNAL OF CRITICAL INFRASTRUCTURE PROTECTION"
1947‐3435,1947‐3443,"INTERNATIONAL JOURNAL OF CYBER WARFARE AND TERRORISM"
1755‐8050,1755‐8069,"INTERNATIONAL JOURNAL OF DATA ANALYSIS TECHNIQUES AND STRATEGIES"
2561‐8148,2561‐8156,"INTERNATIONAL JOURNAL OF DATA AND NETWORK SCIENCE"
1748‐5673,1748‐5681,"INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS"
1759‐1163,1759‐1171,"INTERNATIONAL JOURNAL OF DATA MINING, MODELLING AND MANAGEMENT"
2364‐415X,2364‐4168,"INTERNATIONAL JOURNAL OF DATA SCIENCE AND ANALYTICS"
1548‐3924,1548‐3932,"INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING"
1941‐6210,1941‐6229,"INTERNATIONAL JOURNAL OF DIGITAL CRIME AND FORENSICS"
1753‐8947,1753‐8955,"INTERNATIONAL JOURNAL OF DIGITAL EARTH"
1539‐3100,,"         INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES"
1550‐1329,1550‐1477,"INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS"
1947‐3532,1947‐3540,"INTERNATIONAL JOURNAL OF DISTRIBUTED SYSTEMS AND TECHNOLOGIES"
1548‐3673,1548‐3681,"INTERNATIONAL JOURNAL OF E‐COLLABORATION"
